time,fsr1,fsr2,fsr3,fsr4,label
0.0,0,2123,0,4003,hard_ground_13
0.0,0,2124,0,4004,hard_ground_13
0.0,0,2121,0,4006,hard_ground_13
0.0,0,2125,0,4005,hard_ground_13
0.0,0,2124,0,4004,hard_ground_13
0.0,0,2120,0,4005,hard_ground_13
0.0,0,2121,0,4004,hard_ground_13
0.0,0,2119,0,4005,hard_ground_13
0.0,0,2121,0,4003,hard_ground_13
0.0,0,2120,0,4003,hard_ground_13
0.0,0,2119,0,4004,hard_ground_13
0.0,0,2117,0,4001,hard_ground_13
0.0,0,2121,0,4007,hard_ground_13
0.0,0,2116,0,4003,hard_ground_13
0.0,0,2113,0,4004,hard_ground_13
0.0,0,2109,0,4002,hard_ground_13
0.0,0,2114,0,3999,hard_ground_13
0.0,0,2122,0,4008,hard_ground_13
0.0,0,2118,0,4007,hard_ground_13
0.0,0,2130,0,4003,hard_ground_13
0.0,0,2118,0,4005,hard_ground_13
0.0,0,2105,0,4003,hard_ground_13
0.0,0,2108,0,4003,hard_ground_13
0.0,0,2103,0,4000,hard_ground_13
0.0,0,2122,0,4002,hard_ground_13
0.0,0,2124,0,4009,hard_ground_13
0.006,0,2126,0,4003,hard_ground_13
0.006,0,2125,0,4004,hard_ground_13
0.006,0,2117,0,4001,hard_ground_13
0.007,0,2122,0,4008,hard_ground_13
0.007,0,2125,0,4005,hard_ground_13
0.008,0,2117,0,4007,hard_ground_13
0.008,0,2118,0,4007,hard_ground_13
0.009,0,2113,0,4003,hard_ground_13
0.01,0,2119,0,4006,hard_ground_13
0.01,0,2127,0,4003,hard_ground_13
0.01,0,2134,0,4004,hard_ground_13
0.01,0,2131,0,4003,hard_ground_13
0.01,0,2123,0,4004,hard_ground_13
0.01,0,2117,0,4003,hard_ground_13
0.01,0,2110,0,4000,hard_ground_13
0.01,0,2107,0,4003,hard_ground_13
0.01,0,2095,0,4002,hard_ground_13
0.01,0,2099,0,4005,hard_ground_13
0.01,0,2103,0,4002,hard_ground_13
0.01,0,2094,0,4005,hard_ground_13
0.01,0,2093,0,4009,hard_ground_13
0.01,0,2103,0,4004,hard_ground_13
0.01,0,2087,0,4003,hard_ground_13
0.01,0,2111,0,4006,hard_ground_13
0.01,0,2096,0,4004,hard_ground_13
0.01,0,2104,0,4003,hard_ground_13
0.01,0,2108,0,4003,hard_ground_13
0.01,0,2113,0,4001,hard_ground_13
0.01,0,2108,0,4001,hard_ground_13
0.01,0,2099,0,3995,hard_ground_13
0.01,0,2090,0,4005,hard_ground_13
0.01,0,2085,0,4004,hard_ground_13
0.01,0,2094,0,4005,hard_ground_13
0.01,0,2105,0,4000,hard_ground_13
0.01,0,2100,0,4007,hard_ground_13
0.01,0,2094,0,4002,hard_ground_13
0.01,0,2071,0,4003,hard_ground_13
0.015,0,2090,0,4004,hard_ground_13
0.015,0,2086,0,4002,hard_ground_13
0.015,0,2091,0,4002,hard_ground_13
0.015,0,2097,0,4006,hard_ground_13
0.016,0,2086,0,4004,hard_ground_13
0.016,0,2084,0,4006,hard_ground_13
0.016,0,2080,0,4009,hard_ground_13
0.016,0,2074,0,4001,hard_ground_13
0.016,0,2090,0,4004,hard_ground_13
0.016,0,2103,0,4007,hard_ground_13
0.016,0,2101,0,4004,hard_ground_13
0.016,0,2108,0,4001,hard_ground_13
0.016,0,2111,0,4003,hard_ground_13
0.016,0,2113,0,4005,hard_ground_13
0.016,0,2096,0,4003,hard_ground_13
0.016,0,2095,0,4004,hard_ground_13
0.016,0,2100,0,4004,hard_ground_13
0.016,0,2107,0,4002,hard_ground_13
0.016,0,2105,0,4005,hard_ground_13
0.016,0,2095,0,4003,hard_ground_13
0.016,0,2091,0,4002,hard_ground_13
0.016,0,2078,0,4002,hard_ground_13
0.016,0,2084,0,4003,hard_ground_13
0.016,0,2091,0,4006,hard_ground_13
0.016,0,2101,0,4004,hard_ground_13
0.016,0,2095,0,4004,hard_ground_13
0.016,0,2099,0,4004,hard_ground_13
0.016,0,2093,0,4003,hard_ground_13
0.016,0,2093,0,4003,hard_ground_13
0.016,0,2101,0,4006,hard_ground_13
0.016,0,2115,0,4004,hard_ground_13
0.016,0,2118,0,4003,hard_ground_13
0.016,0,2114,0,4002,hard_ground_13
0.016,0,2115,0,4006,hard_ground_13
0.016,0,2103,0,4008,hard_ground_13
0.02,0,2105,0,4005,hard_ground_13
0.02,0,2107,0,4005,hard_ground_13
0.02,0,2115,0,4005,hard_ground_13
0.02,0,2116,0,4010,hard_ground_13
0.02,0,2113,0,4007,hard_ground_13
0.02,0,2110,0,4004,hard_ground_13
0.02,0,2110,0,4006,hard_ground_13
0.02,0,2114,0,4005,hard_ground_13
0.02,0,2119,0,4008,hard_ground_13
0.02,0,2119,0,4007,hard_ground_13
0.02,0,2130,0,4009,hard_ground_13
0.02,0,2121,0,4004,hard_ground_13
0.022,0,2108,0,4004,hard_ground_13
0.022,0,2117,0,4007,hard_ground_13
0.022,0,2147,0,4004,hard_ground_13
0.022,0,2151,0,4007,hard_ground_13
0.022,0,2121,0,4003,hard_ground_13
0.022,0,2141,0,4004,hard_ground_13
0.022,0,2133,0,4007,hard_ground_13
0.022,0,2132,0,4009,hard_ground_13
0.022,0,2137,0,4006,hard_ground_13
0.022,0,2139,0,4005,hard_ground_13
0.022,0,2131,0,4006,hard_ground_13
0.022,0,2128,0,4004,hard_ground_13
0.022,0,2130,0,4001,hard_ground_13
0.022,0,2121,0,4005,hard_ground_13
0.022,0,2124,0,4007,hard_ground_13
0.022,0,2123,0,4007,hard_ground_13
0.022,0,2122,0,4005,hard_ground_13
0.022,0,2130,0,4003,hard_ground_13
0.022,0,2130,0,4004,hard_ground_13
0.022,0,2124,0,4006,hard_ground_13
0.022,0,2124,0,4002,hard_ground_13
0.025,0,2143,0,4008,hard_ground_13
0.025,0,2149,0,4004,hard_ground_13
0.025,0,2145,0,4004,hard_ground_13
0.025,0,2153,0,4004,hard_ground_13
0.025,0,2141,0,4005,hard_ground_13
0.025,0,2132,0,4005,hard_ground_13
0.025,0,2157,0,4003,hard_ground_13
0.025,0,2141,0,4006,hard_ground_13
0.025,0,2135,0,4006,hard_ground_13
0.025,0,2126,0,4004,hard_ground_13
0.025,0,2111,0,4004,hard_ground_13
0.025,0,2109,0,4006,hard_ground_13
0.025,0,2115,0,4003,hard_ground_13
0.025,0,2122,0,4007,hard_ground_13
0.025,0,2128,0,4004,hard_ground_13
0.025,0,2124,0,4002,hard_ground_13
0.025,0,2121,0,4000,hard_ground_13
0.025,0,2118,0,4006,hard_ground_13
0.025,0,2115,0,4005,hard_ground_13
0.025,0,2118,0,4006,hard_ground_13
0.025,0,2117,0,4004,hard_ground_13
0.025,0,2102,0,4006,hard_ground_13
0.025,0,2105,0,4001,hard_ground_13
0.025,0,2114,0,4003,hard_ground_13
0.025,0,2114,0,4006,hard_ground_13
0.025,0,2124,0,4000,hard_ground_13
0.025,0,2120,0,4006,hard_ground_13
0.029,0,2136,0,4008,hard_ground_13
0.029,0,2121,0,4004,hard_ground_13
0.029,0,2122,0,4004,hard_ground_13
0.029,0,2125,0,4005,hard_ground_13
0.029,0,2135,0,4001,hard_ground_13
0.029,0,2122,0,4005,hard_ground_13
0.029,0,2135,0,4006,hard_ground_13
0.03,0,2135,0,4008,hard_ground_13
0.03,0,2137,0,4004,hard_ground_13
0.03,0,2132,0,4007,hard_ground_13
0.03,0,2134,0,4005,hard_ground_13
0.03,0,2136,0,4007,hard_ground_13
0.03,0,2137,0,4005,hard_ground_13
0.03,0,2130,0,4006,hard_ground_13
0.03,0,2141,0,4005,hard_ground_13
0.03,0,2134,0,4009,hard_ground_13
0.03,0,2143,0,4005,hard_ground_13
0.03,0,2152,0,4007,hard_ground_13
0.03,0,2153,0,4011,hard_ground_13
0.03,0,2158,0,4005,hard_ground_13
0.03,0,2158,0,4002,hard_ground_13
0.03,0,2162,0,4004,hard_ground_13
